steam_id,last_logoff,personastate,total_playtime,game_count,recent_playtime,churn,engagement_ratio,high_value_player,avg_playtime_per_game
76561197960265731,,0.0,738189,413,5033,0,0.006818027879001341,1,1783.0652173913043
76561197960265754,,3.0,293311,543,13,0,4.432140519310495e-05,1,539.1746323529412
76561197960270862,,3.0,764760,750,31,0,4.053553986147306e-05,1,1018.3222370173103
76561197960272940,,0.0,186130,302,0,1,0.0,1,614.2904290429043
76561197960273963,,0.0,520713,996,2587,0,0.004968178309014162,1,522.2798395185557
76561197960274006,,0.0,389283,606,112,0,0.0002877076889879882,1,641.322899505766
76561197960274529,,1.0,295526,506,607,0,0.0020539578447992908,1,582.8915187376725
76561197960276662,,0.0,370832,2723,0,1,0.0,1,136.13509544787078
76561197960279927,,4.0,0,492,0,0,0.0,0,0.0
76561197960282696,,0.0,0,366,0,0,0.0,0,0.0
76561197960304906,,0.0,0,200,0,0,0.0,0,0.0
76561197960321706,,1.0,254510,229,690,0,0.0027110812499263294,1,1106.5652173913043
76561197960336715,,0.0,1653786,115,6659,0,0.004026516111204164,1,14256.775862068966
76561197960337280,,0.0,171467,415,185,0,0.0010789185154081228,1,412.18028846153845
76561197960346057,,0.0,264043,634,1571,0,0.005949765948099559,1,415.81574803149607
76561197960358880,,0.0,3112,85,0,1,0.0,1,36.18604651162791
76561197960362706,,0.0,334299,117,477,0,0.0014268620999102603,1,2833.0423728813557
76561197960380875,,0.0,1239367,328,2554,0,0.002060727725744089,1,3767.0729483282676
76561197960381818,,1.0,709275,2653,833,0,0.0011744370315645814,1,267.24755086661645
76561197960390789,,0.0,0,23,0,0,0.0,0,0.0
76561197960390918,,0.0,285626,442,214,0,0.0007492288894257196,1,644.7539503386005
76561197960404059,,0.0,72666,211,0,1,0.0,1,342.7641509433962
76561197960429469,,0.0,569635,25,99,0,0.00017379519552837252,1,21909.03846153846
76561197960429676,,0.0,179979,651,349,0,0.001939104344927214,1,276.0414110429448
76561197960434622,,4.0,380722,1110,779,0,0.0020461070121847117,1,342.6840684068407
76561197960440949,,0.0,0,269,0,0,0.0,0,0.0
76561197960446640,,0.0,0,759,0,0,0.0,0,0.0
76561197960447296,,0.0,0,87,0,0,0.0,0,0.0
76561197960451246,,0.0,331424,2213,1554,0,0.004688843629780493,1,149.69467028003612
76561197960464481,,0.0,23770,49,4,0,0.00016827226452399984,1,475.4
76561197960465833,,0.0,231382,416,0,1,0.0,1,554.8729016786571
76561197960484192,,1.0,0,1072,0,0,0.0,0,0.0
76561197960487981,,0.0,0,64,0,0,0.0,0,0.0
76561197960508417,,0.0,0,216,0,0,0.0,0,0.0
76561197960527313,,0.0,109543,114,123,0,0.001122836485795662,1,952.5478260869565
76561197960530542,,4.0,275745,449,0,1,0.0,1,612.7666666666667
76561197960534104,,0.0,277852,185,0,1,0.0,1,1493.8279569892472
76561197960544469,,1.0,0,2294,0,0,0.0,0,0.0
76561197960549024,,0.0,171959,192,664,0,0.003861363107699465,1,890.979274611399
76561197960551851,,4.0,114892,55,0,1,0.0,1,2051.6428571428573
76561197960593332,,0.0,0,164,0,0,0.0,0,0.0
76561197960597848,,0.0,0,189,0,0,0.0,0,0.0
76561197960680302,,4.0,135489,316,1816,0,0.01340320318842719,1,427.41009463722395
76561197960723899,,0.0,513025,1296,5835,0,0.01137369256139065,1,395.54741711642254
76561197960747885,,3.0,0,990,0,0,0.0,0,0.0
76561197960793868,,1.0,281549,410,791,0,0.0028094477002308647,1,685.0340632603406
76561197960794555,,0.0,227125,847,0,1,0.0,1,267.83608490566036
76561197960848864,,0.0,0,84,0,0,0.0,0,0.0
76561197960859162,,0.0,448896,944,529,0,0.0011784440528673616,1,475.02222222222224
76561197960860649,,1.0,433947,351,60,0,0.00013826541428926968,1,1232.8039772727273
76561197960874841,,0.0,264339,69,0,1,0.0,1,3776.2714285714287
76561197960880103,,0.0,293328,903,0,1,0.0,1,324.4778761061947
76561197960890780,,0.0,392459,134,665,0,0.0016944401977271569,1,2907.1037037037036
76561197960951084,,0.0,90716,205,274,0,0.003020382067308222,1,440.36893203883494
76561197961015624,,3.0,734226,538,2567,0,0.0034961939563649936,1,1362.2003710575138
76561197961034147,,0.0,1881461,551,6488,0,0.0034483821623822325,1,3408.44384057971
76561197961036066,,4.0,74459,1903,0,1,0.0,1,39.106617647058826
76561197961108628,,4.0,337904,551,761,0,0.0022521122800787203,1,612.1449275362319
76561197961140397,,0.0,1039732,464,4824,0,0.004639652680063055,1,2235.9827956989247
76561197961192434,,4.0,70324,130,0,1,0.0,1,536.824427480916
76561197961306149,,0.0,0,1916,0,0,0.0,0,0.0
76561197961569090,,0.0,0,618,0,0,0.0,0,0.0
76561197961817376,,3.0,182426,200,77,0,0.0004220866428763286,1,907.592039800995
76561197961872329,,0.0,234514,410,177,0,0.0007547491631665352,1,570.5936739659368
76561197962004069,,1.0,377629,254,30,0,7.944284087598973e-05,1,1480.8980392156864
76561197962146232,,0.0,79770,469,0,1,0.0,1,169.72340425531914
76561197962213391,,0.0,421666,178,197,0,0.0004671933065665561,1,2355.6759776536314
76561197962371300,,0.0,501372,217,2052,0,0.004092761277531897,1,2299.8715596330276
76561197962503867,,0.0,178604,152,17,0,9.518210576411635e-05,1,1167.3464052287582
76561197962524719,,0.0,598373,75,702,0,0.0011731793159462142,1,7873.328947368421
76561197962783665,,0.0,0,257,0,0,0.0,0,0.0
76561197962853797,,0.0,338729,410,624,0,0.0018421751837746879,1,824.1581508515815
76561197963069648,,0.0,420830,752,2775,0,0.006594095967264769,1,558.871181938911
76561197963094294,,0.0,458569,44,0,1,0.0,1,10190.422222222222
76561197963135603,,3.0,2023408,2292,8113,0,0.004009569988074581,1,882.4282599215002
76561197963174625,,0.0,273319,366,528,0,0.0019318015512951852,1,744.7384196185286
76561197963225974,,4.0,843457,2881,16013,0,0.018984940566098132,1,292.6637751561416
76561197963259080,,0.0,27733225,2246,0,1,0.0,1,12342.33422340899
76561197963267557,,4.0,0,1248,0,0,0.0,0,0.0
76561197963535400,,0.0,0,780,0,0,0.0,0,0.0
76561197963593321,,4.0,457157,454,87,0,0.00019030619610725395,1,1004.7406593406594
76561197963654652,,0.0,1028972,220,2366,0,0.0022993800614787754,1,4655.981900452489
76561197963659108,,0.0,474473,276,49,0,0.00010327225517098934,1,1712.898916967509
76561197963726423,,0.0,0,406,0,0,0.0,0,0.0
76561197963881144,,0.0,0,1172,0,0,0.0,0,0.0
76561197963989951,,4.0,767624,740,5784,0,0.007534929164631167,1,1035.9298245614036
76561197964093969,,0.0,127510,83,0,1,0.0,1,1517.9761904761904
76561197964110039,,4.0,0,659,0,0,0.0,0,0.0
76561197964270785,,0.0,340336,769,1887,0,0.005544504417680123,1,441.99480519480517
76561197964284613,,1.0,826837,1046,0,1,0.0,1,789.720152817574
76561197964607739,,0.0,577722,315,4148,0,0.007179911480069168,1,1828.23417721519
76561197964770089,,0.0,219689,574,0,1,0.0,1,382.06782608695653
76561197964837502,,0.0,0,176,0,0,0.0,0,0.0
76561197964895325,,0.0,288282,874,52,0,0.0001803783088146023,1,329.46514285714284
76561197965064796,,1.0,0,86,0,0,0.0,0,0.0
76561197965193428,,0.0,0,358,0,0,0.0,0,0.0
76561197965312278,,3.0,257919,1183,4371,0,0.016947115384615383,1,217.83699324324326
76561197965422363,,4.0,674846,731,1817,0,0.0026924621432709932,1,921.9207650273224
76561197965522630,,0.0,0,314,0,0,0.0,0,0.0
76561197965667306,,0.0,404756,708,2775,0,0.006855965431110518,1,570.88293370945
76561197965690871,,4.0,1319452,204,2223,0,0.0016847890754729423,1,6436.351219512195
76561197965903917,,1.0,503239,1152,615,0,0.0012220809156664812,1,436.460537727667
76561197965978376,,0.0,4057773,22012,2996,0,0.0007383358462053332,1,184.33530186707856
76561197966017375,,0.0,1163117,26,456,0,0.00039204964586568174,1,43078.40740740741
76561197966056073,,0.0,0,229,0,0,0.0,0,0.0
76561197966447027,,0.0,54785,97,0,1,0.0,1,559.030612244898
76561197966485205,,4.0,817196,1914,4022,0,0.004921701866257463,1,426.7342036553525
76561197966530090,,1.0,554154,926,2637,0,0.0047585964215788,1,597.7928802588997
76561197966598809,,0.0,929141,1823,183,0,0.0001969559012508314,1,509.39747807017545
76561197966675196,,4.0,728817,28,5027,0,0.006897469601464289,1,25131.620689655174
76561197967399035,,1.0,793013,858,604,0,0.0007616511183913525,1,923.1816065192083
76561197967420206,,3.0,1628058,1784,1468,0,0.0009016872238659656,1,912.0773109243697
76561197967467371,,0.0,341627,591,0,1,0.0,1,577.0726351351351
76561197967599040,,3.0,943159,12903,3852,0,0.004084142669324399,1,73.09043707377558
76561197967837961,,0.0,911085,264,1204,0,0.0013214998364589072,1,3438.056603773585
76561197968062861,,0.0,446875,370,727,0,0.001626849506350755,1,1204.5148247978436
76561197968129882,,0.0,276783,1148,0,1,0.0,1,240.89033942558746
76561197968324016,,0.0,381954,180,804,0,0.00210496000837795,1,2110.243093922652
76561197968349965,,0.0,0,86,0,0,0.0,0,0.0
76561197968357735,,0.0,186013,1607,65,0,0.00034943606395217565,1,115.67972636815921
76561197968376222,,0.0,0,244,0,0,0.0,0,0.0
76561197968423547,,0.0,1146521,491,3368,0,0.0029375799156056317,1,2330.3272357723577
76561197968459473,,0.0,103826,210,0,1,0.0,1,492.06635071090045
76561197968480161,,1.0,963487,3821,2868,0,0.0029766847122122955,1,252.0897435897436
76561197968522670,,0.0,0,1986,0,0,0.0,0,0.0
76561197968551107,,0.0,213951,262,70,0,0.00032717618905174994,1,813.5019011406844
76561197968558967,,1.0,681268,171,1417,0,0.0020799419906087024,1,3960.860465116279
76561197968570218,,0.0,1349907,835,4058,0,0.003006130788172231,1,1614.7212918660287
76561197968575517,,0.0,0,747,0,0,0.0,0,0.0
76561197968639700,,0.0,297642,674,710,0,0.00238540802236236,1,440.9511111111111
76561197968710712,,0.0,195475,276,390,0,0.001995129836910925,1,705.6859205776174
76561197968982243,,1.0,1618021,472,3333,0,0.0020599225474066483,1,3420.7632135306553
76561197969221324,,4.0,705469,857,1060,0,0.0015025444030220987,1,822.2249417249417
76561197969348276,,0.0,774079,399,0,1,0.0,1,1935.1975
76561197969359949,,0.0,658226,1109,1330,0,0.0020205795265159283,1,592.9963963963964
76561197969512710,,3.0,470805,863,909,0,0.0019307315539733988,1,544.9131944444445
76561197969593376,,1.0,604343,1222,0,1,0.0,1,494.147996729354
76561197969598639,,3.0,2622113,736,4124,0,0.0015727767747702808,1,3557.819538670285
76561197969642970,,0.0,454019,307,3120,0,0.006871943967226114,1,1474.0876623376623
76561197969678963,,3.0,505587,680,2387,0,0.004721235472360895,1,742.4185022026431
76561197969712129,,1.0,625683,683,3422,0,0.005469214491660327,1,914.7412280701755
76561197969736470,,0.0,297203,518,524,0,0.0017630987469886004,1,572.6454720616571
76561197969765131,,0.0,0,1608,0,0,0.0,0,0.0
76561197969815248,,1.0,832703,809,2148,0,0.002579548074706018,1,1028.0283950617284
76561197969820054,,1.0,0,764,0,0,0.0,0,0.0
76561197969825929,,0.0,0,14,0,0,0.0,0,0.0
76561197970094123,,0.0,80019,456,0,1,0.0,1,175.09628008752736
76561197970129159,,1.0,116212,252,394,0,0.003390326383451077,1,459.3359683794466
76561197970188759,,0.0,0,850,0,0,0.0,0,0.0
76561197970238929,,0.0,190083,277,0,1,0.0,1,683.7517985611511
76561197970303624,,0.0,0,2126,0,0,0.0,0,0.0
76561197970315823,,0.0,163837,1742,0,1,0.0,1,93.99713138267356
76561197970385926,,1.0,303758,763,649,0,0.002136562208856363,1,397.5890052356021
76561197970392844,,0.0,0,42,0,0,0.0,0,0.0
76561197970485707,,0.0,0,702,0,0,0.0,0,0.0
76561197970510118,,1.0,1284189,544,6415,0,0.004995366729222311,1,2356.3100917431193
76561197970522114,,0.0,0,702,0,0,0.0,0,0.0
76561197970537807,,0.0,0,797,0,0,0.0,0,0.0
76561197970565175,,0.0,187579,1346,534,0,0.002846785371574795,1,139.25686711210096
76561197970569641,,0.0,647554,96,503,0,0.0007767679965408344,1,6675.81443298969
76561197970578342,,1.0,914299,2156,1234,0,0.0013496664114623208,1,423.87528975428836
76561197970599166,,0.0,915728,390,4341,0,0.004740485449297773,1,2342.015345268542
76561197970610844,,0.0,990786,450,219,0,0.00022103640843087365,1,2196.8647450110866
76561197970682079,,3.0,42519,554,191,0,0.00449200376293509,1,76.6108108108108
76561197970708316,,0.0,0,570,0,0,0.0,0,0.0
76561197970735990,,0.0,137244,109,310,0,0.0022587343801231375,1,1247.6727272727273
76561197970803850,,1.0,902835,705,642,0,0.0007110926015356056,1,1278.8031161473089
76561197970832379,,0.0,0,408,0,0,0.0,0,0.0
76561197970844899,,0.0,27947,107,0,1,0.0,1,258.76851851851853
76561197970953315,,0.0,814463,1811,2507,0,0.0030780979883702655,1,449.4828918322296
76561197970961357,,0.0,349879,291,1072,0,0.00306390762547159,1,1198.2157534246576
76561197970997500,,1.0,1621066,1078,6592,0,0.004066457462893267,1,1502.3781278962
76561197971000372,,4.0,919072,673,219,0,0.00023828357486293253,1,1363.6083086053413
76561197971034440,,1.0,251332,1492,146,0,0.0005809026271918132,1,168.34025452109847
76561197971242408,,0.0,146894,344,277,0,0.0018857006705469894,1,425.77971014492755
76561197971491702,,1.0,398722,538,385,0,0.0009655826225224028,1,739.7439703153989
76561197971500817,,0.0,788202,150,1517,0,0.0019246310912290363,1,5219.880794701987
76561197971540812,,1.0,685430,9752,2964,0,0.004324286470848269,1,70.27888854711371
76561197971551254,,0.0,754835,123,170,0,0.00022521448367592432,1,6087.379032258064
76561197971554534,,0.0,94920,118,158,0,0.001664542092898305,1,797.6470588235294
76561197971632711,,1.0,522108,291,1471,0,0.00281741935113166,1,1788.041095890411
76561197971738482,,0.0,1243331,192,0,1,0.0,1,6442.129533678756
76561197971850760,,0.0,242205,128,1496,0,0.006176560448543801,1,1877.5581395348838
76561197971855537,,0.0,361168,256,713,0,0.0019741450678214356,1,1405.3229571984436
76561197971859498,,3.0,908169,384,1070,0,0.001178193510025656,1,2358.8805194805195
76561197971902960,,3.0,194586,1158,623,0,0.0032016527311690916,1,167.89128559102676
76561197972273299,,0.0,1362288,265,1420,0,0.0010423632577228473,1,5121.383458646616
76561197972334177,,0.0,446936,303,510,0,0.0011411004235496278,1,1470.1842105263158
76561197972569237,,1.0,200727,501,3449,0,0.017182455860667172,1,399.85458167330677
76561197972757764,,4.0,544075,55,54,0,9.92508399561826e-05,1,9715.625
76561197972856949,,4.0,595633,376,0,1,0.0,1,1579.9283819628647
76561197973108859,,1.0,668253,727,506,0,0.0007571971136723461,1,917.929945054945
76561197973384797,,0.0,233549,448,0,1,0.0,1,520.1536748329621
76561197973539314,,0.0,561420,1862,688,0,0.0012254618192051954,1,301.3526570048309
76561197973960512,,1.0,700356,572,3051,0,0.004356349690229412,1,1222.261780104712
76561197974084994,,3.0,245467,404,164,0,0.0006681115257385892,1,606.0913580246913
76561197974098625,,0.0,1148574,951,20394,0,0.01775591493807544,1,1206.485294117647
76561197974828941,,0.0,745346,543,1227,0,0.0016462131061103084,1,1370.1213235294117
76561197975069600,,0.0,231520,303,0,1,0.0,1,761.578947368421
76561197975191111,,0.0,1541841,5247,2324,0,0.0015072880359985005,1,293.7959222560976
76561197975836281,,1.0,971607,2560,3189,0,0.0032821878782389605,1,379.38578680203045
76561197975978499,,0.0,0,788,0,0,0.0,0,0.0
76561197976027800,,0.0,12705,39,0,1,0.0,1,317.625
76561197976040987,,0.0,515019,216,1093,0,0.002122247679701759,1,2373.3594470046082
76561197976147020,,0.0,0,2499,0,0,0.0,0,0.0
76561197976511870,,0.0,488707,469,0,1,0.0,1,1039.8021276595746
76561197976588484,,3.0,144808,74,1786,0,0.012333487559474894,1,1930.7733333333333
76561197976785383,,0.0,869734,429,6,0,6.8986530379943315e-06,1,2022.6372093023256
76561197977113234,,0.0,179593,503,0,1,0.0,1,356.33531746031747
76561197977154179,,0.0,1068171,380,0,1,0.0,1,2803.5984251968503
76561197977170580,,1.0,345302,139,0,1,0.0,1,2466.442857142857
76561197977521796,,1.0,0,428,0,0,0.0,0,0.0
76561197977742682,,1.0,2128633,168,14957,0,0.007026571970568919,1,12595.461538461539
76561197978055362,,1.0,1338163,1149,3045,0,0.0022755058423332268,1,1163.62
76561197978212505,,4.0,268764,1222,185,0,0.0006883336743995684,1,219.7579721995094
76561197978236369,,0.0,615444,1374,1889,0,0.0030693238225999076,1,447.59563636363634
76561197978266558,,0.0,71000,487,0,1,0.0,1,145.49180327868854
76561197978391207,,0.0,520403,439,718,0,0.0013796973120883006,1,1182.7340909090908
76561197979460896,,1.0,2549548,131,11205,0,0.0043948949402423726,1,19314.757575757576
76561197979774986,,1.0,985362,776,830,0,0.0008423291720919093,1,1268.162162162162
76561197980041776,,0.0,612365,319,0,1,0.0,1,1913.640625
76561197980135371,,1.0,1361858,239,5282,0,0.003878521932153035,1,5674.408333333334
76561197980377617,,0.0,427485,1580,1293,0,0.003024660456716711,1,270.38899430740037
76561197980525622,,0.0,602708,1029,1760,0,0.002920148861224903,1,585.1533980582524
76561197980920212,,1.0,283624,2505,1462,0,0.00515469369766417,1,113.1779728651237
76561197981291930,,0.0,201339,253,2139,0,0.010623820403297905,1,792.6732283464567
76561197981793346,,0.0,1037045,385,3752,0,0.003617968730413116,1,2686.645077720207
76561197981893887,,0.0,1089260,2188,1375,0,0.0012623237222300257,1,497.6062128825948
76561197981953211,,4.0,897429,39,3158,0,0.003518937410160124,1,22435.725
76561197981995489,,0.0,0,123,0,0,0.0,0,0.0
76561197982286047,,0.0,942496,105,9824,0,0.010423375352918896,1,8891.471698113208
76561197982445669,,0.0,0,105,0,0,0.0,0,0.0
76561197982931652,,0.0,1207235,967,2020,0,0.0016732436739792386,1,1247.1435950413222
76561197982957939,,0.0,0,262,0,0,0.0,0,0.0
76561197983126530,,0.0,0,9,0,0,0.0,0,0.0
76561197983340435,,0.0,222837,310,0,1,0.0,1,716.5176848874598
76561197983530126,,0.0,199562,41,208,0,0.0010422773760667056,1,4751.476190476191
76561197984447638,,0.0,367292,262,152,0,0.00041383854307051865,1,1396.5475285171103
76561197984663068,,1.0,0,4234,0,0,0.0,0,0.0
76561197984988853,,4.0,263677,515,959,0,0.003637011809858995,1,511.0019379844961
76561197985041114,,4.0,256977,1404,945,0,0.003677357594813564,1,182.9017793594306
76561197985269009,,0.0,186224,375,298,0,0.0016002147939320713,1,495.27659574468083
76561197985471627,,3.0,379467,550,2343,0,0.006174433680837383,1,688.6878402903811
76561197985591882,,0.0,47013,262,0,1,0.0,1,178.75665399239543
76561197985975371,,0.0,399148,2479,2507,0,0.006280862535043305,1,160.94677419354838
